GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "49000" ,"Utah",7,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",28026064,28531624,29063380,29636816,29818092,30332424,30914120,31464852,32431032,32911996,33099256,33457008,34070296,34196588,34346944,34452364,34865940,34680152,34846496,34972816,34982136,35400436,35863208,36485056,36919356,37916760,38624328,38976160,39492052,40192112,41354288,42442668,43636476,44384504,45382836,46875008,48048256,49296752,49266936,50188344,50256480,50761212,50935952,50414492,49035384,49084016,48695884,48638612,48831332,49084712,49853032,50648340,51251460,51688952,52443868,52402704,54104344,54698560,54720748,56816304,56633604,57374884,57656676,57732376,59903728,59958328,60463152,61938880,63250440,64320452,65007676,65940372,66921188,67570088,68627260,70033708,70818252,71366040,73165648,73932572,76319496,77041200
 "49000" ,"Utah",7,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",93476,92336,91080,90244,89564,89420,91108,94136,99832,104228,107584,109568,106932,108264,109116,109504,126920,126392,125496,124148,110732,110480,111476,113756,118352,121048,122764,123504,142608,141844,140536,138644,134448,134624,137256,142452,155928,161304,164044,164132,149364,147960,147540,148100,167452,168208,167992,166828,152196,149412,145816,141400,143580,143064,147532,157008,161236,170528,175420,176024,191976,189708,189420,191060,184660,185732,184448,180828,157088,154352,154300,156868,176276,180108,182100,182312,181320,180636,180896,182088,183609,184951
 "49000" ,"Utah",7,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",27932588,28439288,28972300,29546572,29728528,30243004,30823012,31370716,32331200,32807768,32991672,33347440,33963364,34088324,34237828,34342860,34739020,34553760,34721000,34848668,34871404,35289956,35751732,36371300,36801004,37795712,38501564,38852656,39349444,40050268,41213752,42304024,43502028,44249880,45245580,46732556,47892328,49135448,49102892,50024212,50107116,50613252,50788412,50266392,48867932,48915808,48527892,48471784,48679136,48935300,49707216,50506940,51107880,51545888,52296336,52245696,53943108,54528032,54545328,56640280,56441628,57185176,57467256,57541316,59719068,59772596,60278704,61758052,63093352,64166100,64853376,65783504,66744912,67389980,68445160,69851396,70636932,71185404,72984752,73750484,76135887,76856249
 "49000" ,"Utah",7,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",22942132,23292852,23875136,24272820,24522592,24840024,25490284,25823380,26628412,27102464,27096408,27433116,28011072,28029124,27939220,27941200,28178024,27907524,28006740,28169828,28037340,28378128,28826232,29417628,29683120,30640124,31229824,31463212,31893144,32568656,33548412,34555128,35765456,36262532,37222460,38635096,39677368,40786500,40610992,41300392,41325636,41847032,41843444,41129656,39667904,39519704,39259324,39285812,39362940,39507784,40406712,41148484,41585864,41861812,42714016,42598128,44275520,44855964,44795928,46932380,46663736,47413376,47562136,47751860,49790112,49726688,50209608,51644152,52789648,53817692,54321468,55243352,55937080,56636644,57471844,58708988,59459308,59842036,61536660,62046264,64436839,65040217
 "49000" ,"Utah",7,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",31972,31228,34632,26756,34096,34152,32048,31996,25856,25488,31080,44552,22748,21460,20872,32332,17676,22508,19492,26924,26448,21768,23408,17980,20276,26028,23516,20592,22824,23420,26232,25620,27216,26416,29232,30020,32304,33824,34908,35192,33712,36216,33092,36792,31520,33832,34152,36996,33920,36820,37036,38544,38176,34904,38956,39332,39084,38948,39620,40400,44408,43808,43628,43228,45600,50208,48884,48452,46968,46772,53336,53680,57136,52856,53224,55440,55248,56004,56260,58332,59922,60260
 "49000" ,"Utah",7,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",356128,341108,338040,332968,321944,332744,314528,332080,353548,338296,382304,345976,366024,362284,392352,370804,336260,343312,346340,349476,337788,340808,343460,353536,380412,400136,394652,414596,440452,452592,522060,545908,581852,618720,663028,699532,694036,823020,759012,766496,791004,889460,919612,929188,804204,695224,677012,675784,713072,704336,729696,792684,827272,838820,887396,875904,954064,976016,960496,957328,973572,962976,941028,909384,954328,959544,971440,976164,910732,816368,797836,799684,750988,676388,684532,652352,642092,668828,693160,675712,691333,706624
 "49000" ,"Utah",7,SQINC7N,300,"22","   Utilities","Thousands of dollars",282676,270720,265336,255404,246996,249508,256992,273528,299756,259644,259412,246740,429200,303304,288524,243900,555212,287808,275148,249692,232536,270392,264732,255492,260960,284668,268384,252600,273636,284516,327640,260100,322988,334052,311324,335804,314320,326456,348152,331576,339560,328748,342132,342640,351668,342668,349308,332264,370808,345020,349092,350548,368016,350748,369616,324496,347212,351160,352748,343548,346272,346716,349760,348368,352412,347752,352876,361188,369132,368836,373392,350464,366452,368772,378640,345352,410780,382412,372236,392652,400125,406038
 "49000" ,"Utah",7,SQINC7N,400,"23","   Construction","Thousands of dollars",1849860,1926588,2009320,2017048,2090208,2119164,2170408,2246096,2293056,2283144,2225540,2213844,2300800,2302960,2296024,2239488,2182572,2161488,2154980,2260472,2191044,2160676,2181484,2203076,2273796,2390440,2494504,2433900,2618688,2703232,2873672,2945068,3313392,3469108,3588424,3819588,4108288,4116104,4025748,4040412,3925840,3795624,3644280,3518392,3198444,3028404,2986188,2882160,2881060,2801600,2869672,2986864,2904244,2872728,3021616,2933296,3166920,3179872,3132096,3310800,3261804,3322844,3413688,3362488,3583536,3610832,3704848,3832248,4006588,4055020,4111092,4270272,4465156,4459496,4580556,4626908,4789952,4910712,5048324,5193364,5511754,5645363
 "49000" ,"Utah",7,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",4133984,4104812,4136480,4182700,4144528,4219904,4239072,4334160,4390080,4517560,4422092,4477024,4574328,4525540,4419096,4405456,4190300,4218424,4246468,4223792,4283244,4312596,4361604,4550200,4412452,4605572,4684316,4765516,4708688,4834332,4899408,4948880,5196824,5153552,5315384,5405632,5634604,5719032,5769528,5881952,5957400,5998088,6018488,6008448,5565552,5509928,5414556,5549804,5414208,5564704,5698612,5808228,5729136,5762240,5973868,5900592,5991404,6124600,6067948,6254296,6238120,6336880,6297048,6258984,6457336,6535704,6516296,6688924,6843624,6905644,6976868,6982664,7066936,7000404,7198808,7231048,7423416,7385468,7611684,7633072,7764249,7881899
 "49000" ,"Utah",7,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",3045704,3002516,3018560,3034948,3000300,3068560,3090324,3172564,3195664,3333608,3227324,3270668,3362076,3314552,3226864,3203320,2972920,3012468,3018060,2983080,3031784,3046632,3069732,3239380,3100536,3238904,3301448,3369516,3322808,3441604,3485692,3507808,3680468,3666528,3802748,3882732,4084464,4125716,4177024,4239104,4276480,4324324,4316800,4327196,3937184,3853156,3806680,3895360,3764356,3888564,3971536,4056964,3997236,4040944,4230660,4173408,4216464,4337380,4262628,4358352,4370044,4438736,4368800,4360280,4480592,4552680,4576252,4663600,4782328,4816156,4879092,4856580,4848768,4845736,4993188,5016740,5200528,5151788,5337900,5342840,5462718,5572863
