GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "26000" ,"Michigan",3,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",188340332,190401120,189899864,196555836,197454428,200470668,202552024,208818612,214626276,214952612,215823660,213515400,216268504,213352512,212186548,212175456,211053440,215430980,215326820,215561012,217468060,216789464,217516452,223184692,220986888,223656924,227284368,227046476,228663332,230275376,229070016,230440592,230785696,232145880,231819468,231016252,235935572,234501884,234505740,232342036,234121280,233617932,230911876,230586964,213329924,215915352,214591088,216129936,210969800,218424280,222625008,222338448,226330184,225820976,229183660,231224320,234573480,234473796,235617688,239495572,240473700,242193572,242047108,243039696,248241176,250398456,252075724,255486988,259857796,263573704,267339116,270996256,271549480,273440808,276020288,281278244,284334712,285109752,287898348,290908872,295358298,298674234
 "26000" ,"Michigan",3,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",153724944,155412084,155172960,160811240,161636216,163966496,165422732,170278108,174837288,174440792,174809884,172561708,174563540,171929860,170723996,170619980,169606940,173280292,173185672,173229820,174534548,174102480,174604840,179037340,176382616,178363384,181143404,180669276,181605544,182854688,181930908,182933996,183458044,184357112,184043272,183598148,188031244,186892908,186923440,185385288,187081324,186559628,184317540,183910624,168847380,170854700,169564568,170755732,165990128,172352392,176095968,176286840,179921088,179928760,183075544,184782560,188039252,188238840,189212044,192872408,193509664,195020784,194941996,196245296,201391128,203374192,204706012,207359892,210421100,213096696,215873648,218736428,219282204,220665244,222858204,227092448,229617380,230069868,232419100,234885656,238749632,241591042
 "26000" ,"Michigan",3,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",34615388,34989036,34726904,35744596,35818212,36504172,37129292,38540504,39788988,40511820,41013776,40953692,41704964,41422652,41462552,41555476,41446500,42150688,42141148,42331192,42933512,42686984,42911612,44147352,44604272,45293540,46140964,46377200,47057788,47420688,47139108,47506596,47327652,47788768,47776196,47418104,47904328,47608976,47582300,46956748,47039956,47058304,46594336,46676340,44482544,45060652,45026520,45374204,44979672,46071888,46529040,46051608,46409096,45892216,46108116,46441760,46534228,46234956,46405644,46623164,46964036,47172788,47105112,46794400,46850048,47024264,47369712,48127096,49436696,50477008,51465468,52259828,52267276,52775564,53162084,54185796,54717332,55039884,55479248,56023216,56608666,57083192
 "26000" ,"Michigan",3,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",22500024,22770024,22560820,23161908,23189620,23718300,24255236,25315472,26207388,26979976,27457408,27572284,28193504,28169020,28332096,28438168,28347132,28782292,28830480,29074172,29494744,29302316,29511252,30415460,30844708,31381524,31997920,32263612,32802348,33060576,32804056,33035028,32799632,33142496,33142464,32833752,33075164,32935608,32908024,32390084,32361412,32413284,32083200,32165612,31072132,31459940,31551936,31864964,31617092,32347108,32681992,32362272,32200156,31805408,31830928,32055444,31780756,31409940,31505480,31408128,31726584,31787356,31755144,31414376,31270692,31415664,31703668,32290804,33454356,34299444,35112656,35724632,35882496,36322436,36602960,37365816,37759492,38072224,38360772,38753528,39033821,39320327
 "26000" ,"Michigan",3,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",12115364,12219012,12166084,12582688,12628592,12785872,12874056,13225032,13581600,13531844,13556368,13381408,13511460,13253632,13130456,13117308,13099368,13368396,13310668,13257020,13438768,13384668,13400360,13731892,13759564,13912016,14143044,14113588,14255440,14360112,14335052,14471568,14528020,14646272,14633732,14584352,14829164,14673368,14674276,14566664,14678544,14645020,14511136,14510728,13410412,13600712,13474584,13509240,13362580,13724780,13847048,13689336,14208940,14086808,14277188,14386316,14753472,14825016,14900164,15215036,15237452,15385432,15349968,15380024,15579356,15608600,15666044,15836292,15982340,16177564,16352812,16535196,16384780,16453128,16559124,16819980,16957840,16967660,17118476,17269688,17574845,17762865
 "26000" ,"Michigan",3,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",554068,571776,576716,571152,542208,523580,521612,534288,576680,610544,631448,637788,585944,593836,597144,595732,637864,631436,626076,621392,515684,516860,522968,534044,575672,587716,594780,597196,539708,537036,533872,530232,521760,525328,536120,554092,757208,780624,795468,801320,647928,645684,643364,641312,667020,665920,666632,668304,549660,545804,536784,522524,671028,666152,681792,718068,821668,861796,886180,895368,824280,822836,825048,829996,968312,969272,961640,945224,971176,956644,954760,965272,1058884,1075420,1084740,1087660,882412,882936,886568,893632,900681,906970
 "26000" ,"Michigan",3,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",187786264,189829344,189323148,195984684,196912220,199947088,202030412,208284324,214049596,214342068,215192212,212877612,215682560,212758676,211589404,211579724,210415576,214799544,214700744,214939620,216952376,216272604,216993484,222650648,220411216,223069208,226689588,226449280,228123624,229738340,228536144,229910360,230263936,231620552,231283348,230462160,235178364,233721260,233710272,231540716,233473352,232972248,230268512,229945652,212662904,215249432,213924456,215461632,210420140,217878476,222088224,221815924,225659156,225154824,228501868,230506252,233751812,233612000,234731508,238600204,239649420,241370736,241222060,242209700,247272864,249429184,251114084,254541764,258886620,262617060,266384356,270030984,270490596,272365388,274935548,280190584,283452300,284226816,287011780,290015240,294457617,297767264
 "26000" ,"Michigan",3,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",160604452,162185572,161868620,168279108,168541444,170962204,172542912,177999168,183633572,183211636,183850612,180999388,183689736,180294380,178420896,178132816,176593652,181028788,180016332,180552624,181811296,180847116,181467284,186955956,184312968,186685040,189798896,189333292,190371208,191783000,190699068,191602700,192147976,193088672,192662604,191338180,196261160,194272360,194174924,192065484,193386504,192436852,189691416,189640040,172167720,174418644,172797408,173778576,168411600,175204244,179732920,179540776,184394008,183926436,187306472,189985220,192497912,194059680,194378704,198286272,198509940,200635608,200457136,201721320,207094804,209165000,210494260,213525056,216878640,220128024,223293476,226949480,227691920,229024256,231596300,236296428,239576880,239800656,242308448,244773612,249861770,252950269
 "26000" ,"Michigan",3,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",154448,157344,157176,157056,156916,160728,158712,169244,152312,155420,172068,215012,179980,178136,175368,172496,164500,166764,165332,162984,161328,161528,171408,179832,202152,211020,212928,206996,197136,195936,195084,199052,202616,210140,199512,206772,201228,204628,208068,199792,203308,206340,210128,226412,234016,232048,238340,243956,242500,253080,245500,239332,242428,240168,256744,273828,286608,293864,267736,263668,274936,267272,281892,299392,315412,317428,337632,323944,312632,330656,361728,352172,370876,365872,342160,366764,372156,366284,383788,354280,374180,385777
 "26000" ,"Michigan",3,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",422176,398456,397740,400348,417796,453200,402248,401696,402596,406208,430092,442864,449728,438032,414864,416976,344152,370616,373960,377108,375044,370680,389828,399648,399972,415168,424812,418936,437552,434420,429200,449712,468928,482620,457556,459268,455308,458032,492812,477672,477324,510188,490424,545944,458200,422304,407004,430252,462520,491204,553780,499100,538088,519096,518496,532152,554612,594840,538064,567096,573504,559440,569724,595644,615504,606480,617404,602888,572208,600936,511060,514928,523788,505032,486196,468656,480164,504104,531604,531328,540591,558743
