GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",4242874,4768294,5222160,5593172,5656238,6065536,6308097,7190095,7985724,8258038,8289899,7836749,7347012,7228019,7235834,7492863,7954321,8306641,8835927,9271863,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",41144611,42425941,43812255,46925689,49059960,51617421,53656474,56263541,59584861,61609174,64284825,65569610,75650488,77297305,80141486,80257133,84854449,84997208,85856768,85374490,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",15375429,16411454,17367651,18467025,19399326,20342313,20895089,21942839,23034487,23831704,25216856,25897002,26393755,26193851,26468587,26243229,29177622,29216730,29637550,28610873,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",551341,578257,600921,622323,538998,561996,575998,630007,689994,723998,735000,721998,713009,692994,673002,667212,693282,719361,762057,804824,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",867370,916235,957597,1005802,937998,991998,1022990,1091015,1165998,1236999,1319001,1338990,1382015,1339997,1314998,1302277,1311355,1340482,1373875,1424005,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",2007523,2054504,2066455,2107274,1806985,1868991,1873989,1955022,2019998,2065995,2219003,2324995,2447030,2410988,2394007,2375594,2391338,2350328,2360403,2402800,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",1859294,1938756,2057355,2150444,1952687,2078616,2159897,2355657,2381593,2500590,2629255,2885905,2637536,2673768,2969078,2877072,3539189,3344639,3272566,3290937,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",1978600,2168989,2330268,2511335,2457987,2523969,2552994,2681029,2821981,2936991,3126000,3176993,3349042,3341973,3387012,3402061,3462586,3483683,3573580,3703571,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",3493820,3825310,4099031,4573986,5439706,5640668,5711029,5864512,6175117,6378709,6906789,7031382,7315385,7232505,7195914,7135933,7717510,7725595,7827944,7441773,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",750357,772422,798993,859793,1010995,1055955,1083019,1048009,1214966,1119994,1130998,1128001,1161015,1143989,1129005,1125327,1138662,1149889,1176843,1211467,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",1638992,1768327,1896405,1975308,2269635,2417280,2582050,2756280,2818001,2915582,2949706,2995053,2932732,2955601,2957914,2973443,3110564,3180660,3282796,3431572,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",1133030,1240773,1337060,1397533,1538992,1640957,1691010,1799017,1916973,2042988,2220997,2252002,2421037,2371962,2327018,2296177,2357932,2375609,2464639,2594974,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",23,"337","    Furniture and related product manufacturing",254270,278481,299938,320203,298001,319994,329999,364004,398994,414999,423999,414998,412005,396996,386001,385453,390620,392393,408555,425075,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",24,"339","    Miscellaneous manufacturing",840832,869399,923627,943025,1147342,1241890,1312115,1398288,1430871,1494859,1556108,1626686,1622950,1633076,1734638,1702680,3064584,3154091,3134292,1879875,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",25769183,26014487,26444604,28458664,29660634,31275109,32761385,34320702,36550374,37777470,39067969,39672608,49256733,51103454,53672899,54013904,55676827,55780477,56219218,56763617,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",15580578,15497788,15496033,17254084,17333084,18161231,18984477,19543183,21105629,21471512,21557291,21080808,29894100,31476047,30803952,31099887,31185440,30780088,30467491,30458305,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",707431,730311,740479,730224,625996,637000,637996,647007,666998,673999,688000,681999,697009,660996,628002,609394,609365,601359,599793,606507,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",290354,303532,311909,321903,289003,292995,289999,305001,318997,318001,323997,319002,319001,307000,296999,287155,283226,275058,275057,277697,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",29,"322","    Paper manufacturing",1673495,1718751,1710636,1735898,1557991,1617987,1646992,1680019,1719996,1764997,1837001,1823996,1880023,1828993,1779002,1753428,1765039,1785306,1836704,1913015,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",30,"323","    Printing and related support activities",645076,683774,729787,779839,678999,709993,723996,785008,838992,850998,889998,881999,895010,850995,819002,792702,778952,766068,768505,789938,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",1649713,1669155,1687009,1747848,1627321,1720306,1820599,1982689,2156082,2319353,2552978,2830275,2922516,3009760,3127929,3134080,3498514,3450490,3503356,3581258,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",32,"325","    Chemical manufacturing",3988168,4160766,4373406,4471442,6289784,6801597,7270400,7868704,8332100,8848027,9715496,10345935,11212234,11527874,14447085,14789003,15667284,16250681,16857189,17281253,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",33,"326","    Plastics and rubber products manufacturing",1234367,1250410,1395345,1417426,1258455,1334002,1386925,1509092,1411580,1530583,1503209,1708594,1436840,1441788,1770927,1548254,1889007,1871428,1911123,1855647,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",34,"42","  Wholesale trade",122980300,128112861,132532469,136239687,133584347,135438588,141330687,150956011,161909115,171521827,172521972,171896642,158116754,170283225,184999837,192450159,202270141,208190772,212716302,215303818,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",35,"44-45","  Retail trade",106245839,112049164,119799337,126766167,133716164,136446196,144783103,155377379,168303586,179048065,181053460,178570339,168864290,178707216,187195994,194626252,205345017,213926818,220789289,226267806,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",36,"48-49","  Transportation and warehousing",16228513,18680750,19829246,21638061,19795113,21473203,21876709,24427244,25552616,25677147,27809889,28334321,29407457,28662775,30105242,30953632,33682532,35909976,37887921,40026878,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",37,"481","   Air transportation",8831768,10944747,11699665,13174540,11973131,13333923,13523306,15254081,15651421,15139535,16931626,16758328,17021834,15823455,16881372,17273783,19589027,21117245,22442141,23842834,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",38,"482","   Rail transportation",712236,796005,852974,839570,916997,916976,934008,1030006,1066989,1131995,1173999,1467002,1520014,1588985,1694007,1882268,1853539,1926754,1963109,2042291,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",39,"483","   Water transportation",746052,755214,808604,814461,607518,619530,628646,666471,634993,693504,684229,778030,722719,721218,800394,747129,847491,859659,907978,938813,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",40,"484","   Truck transportation",2086734,2140957,2203435,2301595,2222718,2368739,2442482,2742262,3222960,3515288,3515366,3519168,3632459,3732198,3867317,4036228,4111635,4376565,4647492,4855364,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",41,"485","   Transit and ground passenger transportation",738567,793063,863300,917174,893730,897984,910339,921365,967223,987804,1035670,1033847,1472398,1635869,1548207,1620577,1705297,1708496,1765459,1813573,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",42,"486","   Pipeline transportation",968348,1008938,1088846,1166686,1023988,1095015,1158984,1397019,1503015,1576000,1743008,2041987,2178022,2323017,2491989,2560763,2717672,2956558,3029415,3235052,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",43,"487-488, 492","   Other transportation and support activities",1799266,1874831,1927675,2015188,1797027,1849031,1867951,1952035,2008014,2089018,2135994,2107961,2194007,2170029,2162961,2168730,2166031,2222553,2353646,2471641,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",44,"493","   Warehousing and storage",345541,366996,384747,408846,360004,392004,410992,464005,498000,544002,589998,627998,666004,668005,658995,664153,691841,742146,778681,827309,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",45,"51","  Information",31040379,32967663,36146557,38886368,43311133,44140348,44842244,46543057,48477757,48628039,48084793,44696339,44045366,44551036,45651779,46098534,47811410,48831615,49225329,50681648,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",46,"511","   Publishing industries (except Internet)",1506613,1612654,1760083,1889455,2616019,2747948,2906000,3061012,3186993,3324010,3499978,3566020,3747030,3759007,3777991,3716068,3756496,3906302,4000514,4132964,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",47,"512","   Motion picture and sound recording industries",1667678,1931975,2188573,2256801,4249008,4528990,4812973,5109023,5485005,5844012,6291979,5981007,6268023,6371061,6355961,6532354,6702084,6816040,7066294,7355611,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",27195253,28668201,31228313,33557530,34975085,35387447,35542262,36708020,38027768,37533010,36219854,33231295,32021299,32213960,33036828,33259995,34358774,34659869,34172702,34766114,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",49,"518, 519","   Data processing, hosting, and other information services",670835,754833,969589,1182582,1471022,1475963,1581009,1665003,1777991,1927007,2072982,1918016,2009014,2207008,2480999,2590116,2994056,3449405,3985820,4426959,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",156656422,160640398,167668594,174195554,181007556,195203010,206986588,221126829,238005769,253059146,270262949,276431383,286534396,287225713,291103059,294469657,303105915,323619933,336773747,351212528,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",51,"52","   Finance and insurance",27047865,27892888,29363154,30239356,28589276,30776859,32709912,36230486,38726685,40219997,42389920,43750050,43983331,44652461,45802577,46202543,47786041,57899788,63256476,66078581,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",7952156,8702603,9389703,9967480,9644264,10483316,11041794,12270985,13277565,14033786,14910186,15244483,16033983,16163092,16359522,16641382,17064923,17544035,18279054,19140025,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",3324591,3781085,4066014,4368173,3992388,4011817,3910962,4114884,4619973,4519199,5099713,5478200,5050878,5286088,5133899,4852806,4923870,5013268,5125485,5378822,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",54,"524","    Insurance carriers and related activities",14226554,13702317,14073719,13935924,14117609,15412961,17049081,19255618,20154183,20894025,21462030,22115355,21999447,22355330,23490131,23892409,25002423,34566254,39071050,40764385,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",55,"525","    Funds, trusts, and other financial vehicles",1544564,1706882,1833718,1967778,835015,868765,708075,589000,674965,772988,917990,912012,899022,847951,819025,815946,794825,776232,780886,795348,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",56,"53","   Real estate and rental and leasing",129608557,132747510,138305441,143956199,152418280,164426150,174276677,184896343,199279084,212839149,227873029,232681333,242551065,242573252,245300482,248267114,255319874,265720145,273517271,285133948,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",57,"531","    Real estate",122283547,124654391,129112181,133698491,142289091,154196807,163554063,173642982,186890892,199085009,213220932,218026033,228642018,228255905,230090032,231769005,238039105,247600894,254652570,265482862,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets",7325010,8093119,9193260,10257708,10129190,10229343,10722614,11253361,12388192,13754140,14652098,14655300,13909048,14317347,15210450,16498108,17280769,18119251,18864701,19651086,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",59,"54, 55, 56","  Professional and business services",20873925,23637521,25958312,27061046,27318587,30178345,37011038,44023948,52801677,52864225,52118503,48891370,40294165,41878930,43837859,46598259,50761366,53312467,56233329,59695856,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",60,"54","   Professional, scientific, and technical services",10269557,12219273,13604027,14482959,15613373,17924736,24386966,29923941,37687897,36841176,35079706,30186195,22605006,23716103,25200864,27297120,30837231,32603984,34741722,37444152,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",61,"5411","    Legal services",3576707,4677765,5064880,5102196,5723056,8008952,14284000,18976989,25875971,24301022,21360958,15893016,8170992,8587996,9499991,10852455,13330539,14269981,15560479,17522147,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",62,"5415","    Computer systems design and related services",1809903,2189405,2662299,3152863,2995088,2706947,2615995,2764981,2926988,3179045,3546929,3739064,3663001,3984038,4346960,4706096,5079952,5388469,5733868,5892778,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",63,"5412-5414, 5416-5419","    Miscellaneous professional, scientific, and technical services",4882947,5352102,5876848,6227900,6895229,7208838,7486971,8181971,8884938,9361109,10171819,10554115,10771013,11144069,11353912,11738569,12426740,12945533,13447374,14029227,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",64,"55","   Management of companies and enterprises",5012287,5386230,5806061,5901917,5210078,5525710,5715088,6460001,6914824,7318981,7726900,9213135,8337117,8297760,8235107,8425236,8471621,8731649,8908420,9188415,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",65,"56","   Administrative and support and waste management and remediation services",5592081,6032018,6548225,6676170,6495135,6727899,6908983,7640006,8198956,8704068,9311897,9492041,9352042,9865067,10401888,10875903,11452513,11976834,12583187,13063289,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",66,"561","    Administrative and support services",3957413,4354295,4781018,4839708,4797128,4920962,5010967,5528987,5966989,6295073,6707902,6802058,6605006,6973097,7375894,7718817,8186549,8609899,9105992,9476058,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",67,"562","    Waste management and remediation services",1634668,1677723,1767207,1836463,1698007,1806936,1898016,2111019,2231967,2408995,2603995,2689983,2747036,2891970,3025994,3157086,3265965,3366935,3477195,3587231,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",68,"61, 62","  Educational services, health care, and social assistance",13243087,14306941,15227858,16213250,17902301,19499645,20695919,22858041,25530847,27186137,29307734,30417153,32200172,33201001,33455957,34591512,36049738,37066965,38613438,40266171,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",69,"61","   Educational services",3274332,3613734,3910486,4255106,3921057,4316970,4584958,5051019,5438012,5899040,6374954,6920019,7648037,7802061,7935956,8015233,8281109,8479175,8867839,9306221,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",70,"62","   Health care and social assistance",9968755,10693207,11317372,11958144,13981244,15182675,16110961,17807022,20092835,21287097,22932780,23497135,24552135,25398940,25520001,26576279,27768629,28587790,29745599,30959950,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",71,"621","    Ambulatory health care services",4556267,4846784,5100420,5429865,4779152,5134673,5263079,5995971,6594805,6788022,7135860,7308108,7656067,7814812,7846097,7900068,8136934,8413476,8715141,9074612,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",72,"622","    Hospitals",3330250,3582197,3809205,4015201,6053726,6621772,7149089,7831195,8846314,9500187,10313327,10529839,11093784,11376794,11372146,11870205,12421536,12724616,13227937,13784982,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",73,"623","    Nursing, and residential care facilities",1396183,1508522,1592398,1642068,2237328,2443236,2676807,2844861,3434713,3709864,4070620,4211177,4287290,4627300,4719790,5181149,5459415,5591340,5845734,6046428,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",74,"624","    Social assistance",686056,755704,815350,871010,911039,982994,1021986,1134995,1217003,1289023,1412973,1448010,1514994,1580034,1581969,1624857,1750745,1858357,1956787,2053928,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services",38222258,40922164,44059913,47094712,48392579,49660096,52804297,56841521,61805209,66851938,71862065,74284726,72759025,76606186,75588337,80013173,84803711,89437581,93415522,96481770,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",76,"71","   Arts, entertainment, and recreation",6950963,7647757,8468229,9079880,9412383,9918349,10547174,11666531,12452277,13437807,15069329,15447156,15202543,15590992,16027590,17482688,18044110,18626889,19458700,20014397,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",77,"711-712","    Performing arts, spectator sports, museums, and related activities",2699390,3163440,3601967,3753074,4305033,4556008,4882973,5421004,5756022,6144029,6800974,6973017,6958006,7026059,7145955,7371721,7564908,7814895,8087602,8345346,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",78,"713","    Amusement, gambling, and recreation industries",4251573,4484318,4866262,5326806,5107350,5362342,5664201,6245528,6696255,7293778,8268355,8474139,8244538,8564933,8881635,10110967,10479202,10811995,11371097,11669051,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",79,"72","   Accommodation and food services",31271294,33274407,35591684,38014832,38980197,39741747,42257123,45174990,49352932,53414130,56792736,58837570,57556482,61015194,59560747,62530485,66759601,70810692,73956822,76467373,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",80,"721","    Accommodation",10898481,11659761,12553587,13424041,12913062,13053959,13961996,14715009,16474020,17914054,19557926,20100137,19374111,20493105,21434902,22750000,24181566,25376968,26358766,27476736,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",81,"722","    Food services and drinking places",20372813,21614646,23038097,24590792,26067134,26687788,28295127,30459982,32878912,35500076,37234810,38737433,38182371,40522089,38125845,39780486,42578035,45433724,47598056,48990637,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",82,"81","  Other services (except government and government enterprises)",10501829,11165416,11922942,12581659,12360437,12763827,13249357,14387099,15602324,16661480,17370716,17663024,17638513,17860774,18391239,18983951,19975212,20746770,21532147,22382520,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",83,"..."," Government and government enterprises",248098,250105,264114,289145,323000,329997,350003,377000,406999,432000,457998,467006,477007,501000,521998,525630,533998,564000,578002,590998,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",84,"...","  Federal civilian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",85,"...","  Military",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",86,"...","  State and local",248098,250105,264114,289145,323000,329997,350003,377000,406999,432000,457998,467006,477007,501000,521998,525630,533998,564000,578002,590998,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",87,"11, 21","Natural resources and mining",18226314,17198136,17580043,19946300,20347336,20392219,23289461,26569450,32541896,37119938,41812723,51203806,38345169,42215853,47454267,50139607,52190676,55736087,46770727,43551451,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",88,"42, 44-45","Trade",229226139,240162024,252331806,263005854,267300510,271884784,286113790,306333390,330212701,350569892,353575432,350466981,326981044,348990441,372195831,387076411,407615157,422117591,433505590,441571624,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",89,"...","Transportation and utilities",47987824,51027524,53389404,56762659,54709980,58295998,60309718,65583450,69481565,73800077,79402897,81812375,84546888,85517704,88146240,89868484,93005051,96157253,98549593,102626195,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",90,"...","Private goods-producing industries 2/",63613800,64392371,66614458,72465161,75063534,78075177,83254032,90023086,100112482,106987149,114387447,124610164,121342669,126741177,134831587,137889603,144999446,149039936,141463422,138197804,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",91,"...","Private services-providing industries 3/",547751862,574829651,606705386,635801103,652303084,681626053,722012951,777697336,841917850,889620934,921985090,924663350,904999568,935831784,968370299,997699981,1043127559,1091290176,1127848696,1164918312,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",100,"...","All industry total, overseas activity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",101,"...","Government and government enterprises, overseas activity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",102,"...","Federal civilian, overseas activity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "00000" ,"United States*", ,SAGDP6N,"Taxes on production and imports","Thousands of dollars",103,"...","Military, overseas activity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
"Note: See the included footnote file."
"SAGDP6N: Taxes on production and imports 1/"
"Last updated: November 14, 2018; revised statistics for 1997-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
